,dice,RVE,Sens,Spec,HD95
Average,0.8766501551271663,0.11115116886835907,0.8792903700397171,0.997452282163133,7.5685648918151855
00065215.nii.gz,0.8535724545491855,0.1453978079967526,0.7915186726202558,0.9985627632862751,21.606233596801758
00067775.nii.gz,0.5942867829706427,0.3200605231245063,0.6893906522924246,0.9880905234925724,96.2910385131836
00068138.nii.gz,0.9171517819111176,0.057702140092031264,0.9436125922138632,0.9986215891612079,2.0
00068955.nii.gz,0.8229306917997052,0.18491795647620157,0.7468433608751309,0.9981623350371529,16.853004455566406
00072724.nii.gz,0.8664892673407846,0.3023198823721614,0.9974677340303872,0.9982645460523073,3.1462643146514893
00074748.nii.gz,0.8799243511592174,0.13394882782959416,0.8209919334509705,0.999530910073821,16.438791275024414
00075286.nii.gz,0.8542301190733282,0.0276276364490923,0.8424299394865167,0.9972428223625899,4.41421365737915
00076313.nii.gz,0.8004827542399809,0.28093306288032455,0.9129237902057374,0.9980016521773337,15.414213180541992
00077216.nii.gz,0.9116857548359552,0.17584922539633385,0.9918453717323424,0.9974935845677643,2.4142136573791504
00082941.nii.gz,0.71012415905486,0.43422804494860734,0.8643020716834425,0.9889018867259244,13.949380874633789
00088168.nii.gz,0.8141303215630257,0.1781674391469225,0.8866560788253979,0.9937702040649522,6.14626407623291
00089701.nii.gz,0.8719729176507638,0.13002867539785018,0.9286636593832274,0.9954296032151112,11.0
00090810.nii.gz,0.9432357228037631,0.044869303904043936,0.9220745576539467,0.9996421639657431,1.4142135381698608
00092949.nii.gz,0.8337087763561006,0.36934244235695984,0.9876707941929974,0.9951961316465492,13.974690437316895
00096881.nii.gz,0.946357104684995,0.024791401159016038,0.9580878639959602,0.9986921886322245,1.4142135381698608
00096950.nii.gz,0.9601287143647242,0.02374209303508742,0.9715264469957773,0.9990431448742058,1.7320507764816284
00098165.nii.gz,0.7883507241862641,0.1403498609823911,0.7330282669138091,0.9970748913454608,5.242640495300293
00102172.nii.gz,0.8324873096446703,0.3033992285438766,0.9587753134040502,0.995083641716306,12.464101791381836
00104935.nii.gz,0.8627712544013404,0.22875613634792227,0.9614533637557906,0.9936427961830467,20.414213180541992
00105251.nii.gz,0.8864550308120944,0.07067951231989086,0.9177821354477506,0.9977486195648307,2.4142136573791504
00106003.nii.gz,0.8049827125377016,0.16743433617183814,0.7375918394859236,0.9986369884635761,16.61036491394043
186562.nii.gz,0.944353050568629,0.01917400647004652,0.9352995348178234,0.9991436481388782,1.4142135381698608
219994.nii.gz,0.6907891307423656,0.36027400605646187,0.5663524470059588,0.9951099587898674,13.414213180541992
222471.nii.gz,0.9361003284562557,0.0027168511033066065,0.9348287058511696,0.9987238905294399,1.0
222833.nii.gz,0.9680806843291255,0.021046581035969316,0.9782680786151703,0.9974998934063081,1.0
264868.nii.gz,0.8855907588383773,0.06712176315109601,0.8558695522566029,0.9964662248611796,3.1462643146514893
266201.nii.gz,0.8444853983555435,0.058810653046333455,0.8693177672382342,0.998323212562024,2.8284270763397217
266211.nii.gz,0.8880965441579816,0.1015690086087198,0.8429950013885031,0.9986922613315514,2.4142136573791504
270546.nii.gz,0.9095644916030681,0.08262819808389694,0.9471423290941967,0.9957341402461944,2.0
285828.nii.gz,0.7919416160468473,0.17940252071494334,0.8629797771357821,0.9932128068009487,23.34168243408203
292710.nii.gz,0.9364711841105605,0.024302205067724528,0.9250920267324255,0.9988961121475218,1.4142135381698608
293644.nii.gz,0.8535790391547023,0.2042386789924973,0.7664121114683816,0.9976925244375158,14.0
299323.nii.gz,0.7662043031916549,0.3182697165554607,0.6442744899914635,0.9987905088132528,22.196149826049805
302538.nii.gz,0.8967669933386812,0.06106302407357317,0.8693873410873681,0.9988853510087655,1.7320507764816284
312221.nii.gz,0.8516615279205209,0.12267480211081794,0.7994228232189974,0.9973963270795212,4.464101791381836
314685.nii.gz,0.9110828975522273,0.04575258368599815,0.9319250958097971,0.9952520677029235,2.4142136573791504
316768.nii.gz,0.9156908230490862,0.04147130447424854,0.896703376585614,0.9984500955364392,1.4142135381698608
321951.nii.gz,0.8763903462749216,0.0973824312333629,0.833717834960071,0.9987347856549297,5.5604777336120605
325895.nii.gz,0.8847036098032117,0.05360241979471414,0.9084147369464968,0.9973498257202672,2.0
326257bai2.nii.gz,0.90168763870333,0.010531817878511533,0.8969394337062657,0.9975943536704901,3.0
329218.nii.gz,0.9573103059437966,0.04817299978119758,0.9803685605231809,0.99780322262279,2.0
333469.nii.gz,0.8722386199057696,0.06899603511753044,0.842148116680827,0.99870473807843,10.120955467224121
339374.nii.gz,0.9201307800093415,0.01353220244034802,0.9139050820160005,0.9978286572196231,1.4142135381698608
346463.nii.gz,0.8916982901974163,0.07099651198728421,0.923352024371937,0.9976365002392478,2.0
348182.nii.gz,0.9016684202615364,0.12298168357904142,0.9571127704384453,0.9981775765484464,1.4142135381698608
355098.nii.gz,0.873574903783313,0.0365276545400769,0.8895297249334516,0.9971387833976515,3.464101552963257
358164lu1.nii.gz,0.8263452815084943,0.08903015263283136,0.7895604582384336,0.9978141497920948,9.43879222869873
361810.nii.gz,0.9217736779614578,0.041119377394778826,0.9028222980931224,0.998260186354401,4.14626407623291
371091-2.nii.gz,0.907943702437786,0.07347730073952342,0.9413003286770748,0.9973881642105178,2.8284270763397217
374234zhang1.nii.gz,0.9421537560625451,0.023512390908666636,0.9310776123582396,0.9976614680596915,2.0
377191.nii.gz,0.967767794515515,0.027149023096438338,0.9546308194128694,0.9995680932606147,1.0
380092.nii.gz,0.7834335173028737,0.25956547332370095,0.6817573714346872,0.9988629682284391,6.828427314758301
391880.nii.gz,0.6491074553727696,0.4787007454739084,0.4937433439829606,0.9995179260105699,16.270618438720703
