ID,wavelet-LHL_glcm_ClusterProminence,wavelet-HLL_firstorder_Maximum,wavelet-HHH_glcm_DifferenceEntropy,deep_feat_0,deep_feat_4,deep_feat_228
00058385,0.6022895836627886,1.0432589054107666,0.9862161515705132,9.080902,2.73042,2.6955602
00059211,0.6100223432757812,0.9575068950653076,0.9870563519268292,15.658855,0.8660627,0.23995961
00059375,0.5815239670561185,0.8701920509338379,0.9887932698319096,11.573164,1.8131156,0.0
00061108,0.5430490648751298,1.4271602630615234,0.9969995670157848,11.646208,3.8105812,2.8834472
00065498,0.5364725677634741,1.2293812036514282,0.990151025447789,12.866152,0.9103274,0.43406498
00066032,0.5744078117287388,0.5813845992088318,0.9904977618097452,6.673746,3.0639977,1.5310248
00066679,0.6084896184390621,0.9004228711128235,0.9949968978074306,12.439962,2.3802016,0.0
00066782,0.5957072758866325,0.8704344034194946,0.9948741921332604,14.020516,0.24390419,0.0
00067938,0.5832330290158657,1.0588301420211792,0.996036740134604,10.6777725,1.9112712,2.0831733
00068144,0.5724179238811941,0.8088001012802124,0.9886133497609456,12.526644,3.1028545,3.1504412
00069661,0.5822142699082348,1.2279996871948242,0.9888740025053782,14.72101,0.28595698,0.0
00071752,0.5861368959255541,0.849173903465271,0.997418371810794,14.762208,1.6426632,0.22816606
00072002,0.5897316079898219,0.8460257649421692,0.9971557023148456,12.306601,0.49945956,0.0
00072643,0.574965509681596,0.7475200891494751,0.9877329611723964,10.89687,3.18829,2.814752
00072918,0.5433771372690318,1.4002881050109863,0.9906986135056997,7.57159,0.22132576,0.0
00073065,0.5989125317381377,0.4960992932319641,0.996299605682618,14.010491,0.0,0.0
00073572,0.5864759582972171,0.5895400047302246,0.995052418717559,17.85255,1.0836412,0.0
00073787,0.5660970229995856,1.2036012411117554,0.9938518546284963,14.770184,0.6685192,0.0
00074401,0.5751409424377203,0.5984283685684204,0.9890985427604316,8.908116,2.3597174,3.7815065
00074825,0.5998806042374358,0.6825456619262695,0.9946394229164172,16.035494,2.356581,0.0
00076024,0.5800541001399828,0.8762165904045105,0.9969463961780032,9.186372,1.5911405,1.8171118
00076628,0.5718787410983659,0.6918972134590149,0.9888506329739974,8.027763,2.8742683,3.8334653
00078526,0.5785739303181326,0.6384089589118958,0.9974873938921226,10.7687435,2.0708044,0.24323322
00078878,0.5721030402602192,0.5890620946884155,0.9888996753569352,10.257919,4.4343615,3.4478729
00079292,0.5575286205720384,0.8749099373817444,0.9912718723376266,10.9241905,1.7193,0.79395616
00080127,0.5829147749124756,0.7286268472671509,0.9874980406818646,11.911374,2.0899649,1.0458755
00081465,0.5716335057763726,0.5848163366317749,0.9960894857233508,8.107251,1.6201309,2.6428604
00082284,0.5876788276981127,0.6620674133300781,0.9932373240102,12.68381,1.1197941,0.10024597
00082370,0.5952043815537784,1.2717020511627195,0.993280522375222,15.439646,1.1039779,0.0
00082395,0.5870697583754908,0.6619773507118225,0.9881655244328722,9.844473,2.568284,3.5391388
00082593,0.5737277786007894,0.7032968401908875,0.9890301904102948,13.0380945,1.7003247,0.0
00082952,0.5810848599061182,0.7954345345497131,0.9871065119281106,12.331658,1.2043996,0.32854486
00086012,0.5749343736066309,0.7070346474647522,0.9901034791031548,15.684597,0.4610269,0.0
00087042,0.5875204988613456,0.8607845902442932,0.9874557527195288,8.04276,2.6265836,4.3766227
00087594,0.5868998706355893,0.7127509713172913,0.9857784723293898,11.57828,2.2865756,1.4513911
00088562,0.6340162361859321,0.6982883810997009,0.9860556929000251,7.063902,4.245926,6.0614157
00091211,0.5954072652066926,0.8304972648620605,0.994361547299518,11.972189,0.08267851,0.0
00091630,0.593423545096387,0.7609990835189819,0.9956429657936862,13.0795355,0.36359936,0.0
00094409,0.5793863760686258,1.0764539241790771,0.9909439772259364,9.846268,3.609322,3.399387
00094736,0.5870003978513653,0.9778109788894652,0.9912764639716382,11.587108,1.9882317,3.9857352
00095128,0.5654965772815899,0.4609773755073547,0.9966282015336698,12.359937,2.6435828,1.7380047
00095543,0.5965318784873932,0.8446916937828064,0.9951600549555296,6.129839,0.019223047,6.8752875
00096327,0.6489590142178218,0.3153877854347229,0.9876938655518196,10.808876,4.3854094,6.141988
00096959,0.5704329328879705,0.527772068977356,0.9907996717120708,10.021415,1.9839516,2.823284
00097481,0.5706433098879807,0.5306246280670166,0.9905355894557892,13.252146,2.11694,1.7976133
00097784,0.5761512897053502,0.4793475866317749,0.9884675024433384,12.341075,2.7782018,0.63643605
00098019,0.6151535993881637,0.2510482966899872,0.990381618054168,6.3129616,1.1398102,2.6268084
00098860,0.5755306524107011,1.4537954330444336,0.9895114989964456,15.140242,0.2671039,0.0
00099936,0.5835545338720581,0.6067392826080322,0.9902326365086936,14.447711,2.0063791,0.0
00100086,0.5676287115549628,0.543215274810791,0.9889535298848154,12.244649,1.5326532,2.301345
00100496,0.5689948119059002,0.5328100919723511,0.9881420543384032,11.808667,0.85325223,0.0
00100555,0.5700148288312099,1.3803178071975708,0.9914970845711794,11.949658,2.1942132,1.0355139
00102815,0.5995530721458624,0.9034245610237122,0.9909295049513815,10.460875,2.1732876,0.6242774
00105940,0.5906002442668066,0.5454828143119812,0.9888019286049212,11.656361,0.75321347,0.0
00107556,0.6371031233659902,0.7102793455123901,0.9902968284418204,10.795607,1.5219548,5.051113
