fold_idx,auc,best_threshold,accuracy,sensitivity,specificity,ppv,npv,C,max_iter,random_state
1,0.9074074074074074,0.5101730741075804,0.9298245614035088,0.9666666666666667,0.8888888888888888,0.90625,0.96,0.001,50,42
2,0.9444444444444444,0.5064412284859905,0.9298245614035088,1.0,0.8518518518518519,0.8823529411764706,1.0,0.001,50,42
3,0.9358974358974359,0.5025114123661364,0.875,0.9333333333333333,0.8076923076923077,0.8484848484848485,0.9130434782608695,0.001,50,42
4,0.9461538461538461,0.5173540808767843,0.9285714285714286,0.9333333333333333,0.9230769230769231,0.9333333333333333,0.9230769230769231,0.001,50,42
5,0.9730769230769232,0.51587088004994,0.9642857142857143,1.0,0.9230769230769231,0.9375,1.0,0.001,50,42
